grupo,carga,entrada,binario,schedule,T_arquivo,rep,passos,nao_combustiveis,intactas,em_chamas,queimadas,contencao,total_ignicoes,pico_passo,pico_qtd,percentual_queimado,percentual_protegido,checksum,tempo
varredura_T,grande,entradas/entrada_carga_grande.txt,fire_omp_static,static,8,10,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.718109
schedules,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,1,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.334007
schedules,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,2,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.326724
schedules,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,3,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.321801
schedules,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,4,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.322078
schedules,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,5,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.344269
schedules,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,6,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.366961
schedules,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,7,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.335124
schedules,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,8,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.322468
schedules,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,9,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.324050
schedules,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,10,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.325414
schedules,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,1,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.819233
schedules,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,2,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.814788
schedules,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,3,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.818251
schedules,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,4,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.821021
schedules,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,5,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.834835
schedules,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,6,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.818812
schedules,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,7,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.824975
schedules,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,8,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.822829
schedules,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,9,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.816426
schedules,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,10,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.819026
